schoolId,level,districtId,schoolName,distName,msaName,cityName,state,pop,minority_pop,minority_percent,neighbor_minority_percent,sci,type,compareMedian,lon,lat,radiusNeighbors,countNeighbors,allLevels
550960001196,1,5509600,Keefe Avenue Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,155,152,0.9806451612903225,0.9756394640682094,.0028134,tps,above,-87.931661,43.082369,1,8,1 2
550960001197,1,5509600,Kilbourn Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,211,198,0.9383886255924171,0.9399025446670276,.0029823,tps,above,-87.995506,43.115246,1,6,1
550960001200,1,5509600,Kluge Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,246,210,0.8536585365853658,0.9422572178477691,.0014959,tps,above,-87.994056,43.122583,1,4,1
550960001202,1,5509600,Lafollette Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,142,129,0.9084507042253521,0.9739077669902912,.001603,tps,above,-87.922961,43.077279,1,8,1 2
550960001204,1,5509600,Lancaster Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,183,167,0.912568306010929,0.9360100376411543,.0021375,tps,above,-87.996686,43.107494,1,3,1 2
550960001206,1,5509600,Lincoln Avenue Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,378,348,0.9206349206349206,0.9292899408284023,.0047049,tps,above,-87.936201,43.002406,1,9,1
550960001208,1,5509600,Hopkins Lloyd Community School,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,163,154,0.9447852760736196,0.9711488923235445,.002403,tps,above,-87.928012,43.05875,1,7,1 2
550960001209,1,5509600,Longfellow Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,503,470,0.9343936381709742,0.9238805970149254,.0069186,tps,above,-87.939951,43.020569,1,9,1 2
550960001210,1,5509600,Lowell International Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,226,155,0.6858407079646017,0.535253227408143,.0022305,tps,below,-87.938356,42.965351,1,2,1
550960001213,1,5509600,Manitoba Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,318,223,0.7012578616352201,0.6465696465696466,.0026726,tps,below,-87.965548,42.991148,1,2,1 2
